frame,object_id,class,x,y,width,height,center_x,center_y,area
703,1387,person,699.74,342.84,145.51,247.27,699.74,342.84,35978.64
703,1484,person,1006.71,211.5,47.1,84.95,1006.71,211.5,4000.63
704,1387,person,699.95,341.24,144.29,246.1,699.95,341.24,35509.19
704,1484,person,1006.4,209.16,48.57,86.24,1006.4,209.16,4189.02
704,1487,person,1212.09,246.12,135.82,326.87,1212.09,246.12,44393.89
705,1387,person,699.35,340.32,143.0,244.83,699.35,340.32,35009.71
705,1484,person,1005.72,208.4,49.59,86.64,1005.72,208.4,4296.71
706,1387,person,690.98,339.17,139.11,242.98,690.98,339.17,33800.74
707,1387,person,683.59,339.24,136.23,243.63,683.59,339.24,33189.51
707,1484,person,1004.92,209.66,50.19,84.38,1004.92,209.66,4234.83
708,1387,person,678.02,339.51,134.16,245.68,678.02,339.51,32960.41
709,1387,person,675.18,339.49,131.24,244.85,675.18,339.49,32133.29
710,1387,person,675.23,339.74,129.12,244.44,675.23,339.74,31561.01
711,1387,person,676.69,339.54,126.9,242.23,676.69,339.54,30739.33
712,1387,person,677.77,340.61,125.03,240.25,677.77,340.61,30038.96
713,1387,person,679.03,341.17,123.57,238.13,679.03,341.17,29425.31
714,1387,person,681.26,341.29,122.92,236.28,681.26,341.29,29044.03
715,1387,person,683.34,341.57,122.48,234.1,683.34,341.57,28671.27
716,1387,person,688.33,342.17,122.44,231.34,688.33,342.17,28325.02
717,1387,person,691.01,342.99,122.73,229.31,691.01,342.99,28142.36
718,1387,person,693.02,344.71,123.8,228.49,693.02,344.71,28285.96
719,1387,person,696.67,346.08,124.35,226.7,696.67,346.08,28190.28
720,1387,person,700.59,346.72,125.84,226.01,700.59,346.72,28441.86
721,1387,person,703.86,347.55,127.18,224.82,703.86,347.55,28591.46
722,1387,person,704.78,348.59,129.18,225.46,704.78,348.59,29125.56
723,1387,person,704.83,348.84,130.62,225.47,704.83,348.84,29450.62
724,1387,person,703.48,349.23,131.85,226.19,703.48,349.23,29823.0
725,1387,person,701.64,349.07,133.65,228.7,701.64,349.07,30566.0
726,1387,person,698.18,351.0,134.49,230.97,698.18,351.0,31063.6
727,1387,person,693.73,350.08,135.19,234.5,693.73,350.08,31702.27
728,1387,person,688.28,348.22,134.39,237.55,688.28,348.22,31924.38
729,1387,person,685.02,347.74,133.31,240.45,685.02,347.74,32054.93
730,1387,person,681.89,347.57,131.26,241.84,681.89,347.57,31742.72
731,1387,person,679.41,350.4,130.68,246.91,679.41,350.4,32266.97
732,1387,person,679.02,351.82,129.36,250.66,679.02,351.82,32426.84
733,1387,person,679.2,351.33,126.38,250.62,679.2,351.33,31672.79
734,1387,person,678.78,353.11,124.0,251.69,678.78,353.11,31208.2
735,1387,person,678.48,355.01,121.33,251.82,678.48,355.01,30553.71
736,1387,person,678.02,355.8,118.16,250.17,678.02,355.8,29559.66
737,1387,person,676.32,356.36,114.84,249.0,676.32,356.36,28594.16
738,1387,person,673.75,355.69,110.36,246.61,673.75,355.69,27216.99
739,1387,person,672.81,356.12,106.81,245.53,672.81,356.12,26223.6
740,1387,person,672.94,358.16,104.24,246.11,672.94,358.16,25655.82
741,1387,person,674.01,358.89,101.64,245.33,674.01,358.89,24935.43
742,1387,person,673.68,359.65,99.75,246.39,673.68,359.65,24575.97
743,1387,person,673.11,361.33,98.44,248.27,673.11,361.33,24439.92
744,1387,person,675.78,362.7,97.82,248.92,675.78,362.7,24349.56
745,1387,person,677.67,364.1,96.64,247.42,677.67,364.1,23910.74
746,1387,person,680.0,365.03,96.09,246.24,680.0,365.03,23660.2
747,1387,person,679.82,363.1,95.21,245.37,679.82,363.1,23362.34
748,1387,person,680.43,357.37,90.91,234.1,680.43,357.37,21280.91
748,1500,person,479.69,194.01,24.48,75.18,479.69,194.01,1840.36
749,1387,person,682.83,362.06,92.55,238.19,682.83,362.06,22043.59
